Year,Date,State,Magnitude,Injuries/Fatalities,len,Travel (km)
1950,26-Jan-50,TX,2,2,4.7,7.564
1950,11-Feb-50,TX,2,0,9.9,15.933
1950,11-Feb-50,TX,3,13,12,19.312
1950,11-Feb-50,TX,2,5,4.6,7.403
1950,11-Feb-50,TX,2,6,4.5,7.242
1950,12-Feb-50,TX,2,9,8,12.875
1950,12-Feb-50,TX,1,0,2.3,3.701
1950,12-Feb-50,TX,2,0,3.4,5.472
1950,12-Feb-50,TX,1,32,7.7,12.392
1950,12-Feb-50,TX,3,18,1.9,3.058
1950,12-Feb-50,LA,4,95,82.6,132.932
1950,12-Feb-50,LA,2,15,58.4,93.986
1950,12-Feb-50,LA,3,30,74.5,119.896
1950,12-Feb-50,LA,1,0,0.5,0.805
1950,27-Feb-50,OK,2,0,2,3.219
1950,19-Mar-50,LA,1,2,2,3.219
1950,19-Mar-50,LA,2,0,1,1.609
1950,19-Mar-50,LA,0,0,18.1,29.129
1950,27-Mar-50,OK,2,0,0.1,0.161
1950,27-Mar-50,LA,1,2,15.3,24.623
1950,27-Mar-50,LA,1,0,0.5,0.805
1950,02-Apr-50,OK,2,0,1,1.609
1950,03-Apr-50,OK,1,0,1,1.609
1950,24-Apr-50,LA,1,0,2,3.219
1950,28-Apr-50,OK,3,2,20.8,33.474
1950,28-Apr-50,KS,1,0,19.8,31.865
1950,28-Apr-50,TX,4,10,1.3,2.092
1950,28-Apr-50,OK,4,37,4.5,7.242
1950,28-Apr-50,OK,2,0,0.8,1.287
1950,29-Apr-50,TX,1,0,11.5,18.507
1950,01-May-50,LA,1,0,2,3.219
1950,01-May-50,LA,1,0,15.4,24.784
1950,01-May-50,LA,2,7,3.6,5.794
1950,01-May-50,LA,1,2,1,1.609
1950,01-May-50,LA,0,0,1,1.609
1950,02-May-50,LA,1,1,32.8,52.786
1950,02-May-50,LA,2,6,2,3.219
1950,04-May-50,KS,1,0,0.1,0.161
1950,04-May-50,TX,2,14,1.9,3.058
1950,04-May-50,IA,1,0,0.1,0.161
1950,04-May-50,OK,2,0,5.6,9.012
1950,04-May-50,OK,1,0,0.1,0.161
1950,04-May-50,OK,2,0,1,1.609
1950,04-May-50,KS,4,1,34.3,55.2
1950,05-May-50,KS,3,12,17.3,27.842
1950,07-May-50,OK,1,0,0.1,0.161
1950,07-May-50,OK,2,3,4.3,6.92
1950,07-May-50,OK,1,0,0.1,0.161
1950,08-May-50,SD,1,0,1,1.609
1950,08-May-50,KS,2,0,12.6,20.278
1950,08-May-50,KS,2,1,6.8,10.944
1950,08-May-50,IA,2,0,0.1,0.161
1950,08-May-50,KS,2,2,19.6,31.543
1950,08-May-50,KS,1,1,0.1,0.161
1950,08-May-50,KS,1,0,0.1,0.161
1950,08-May-50,NE,2,1,8.8,14.162
1950,09-May-50,KS,1,0,0.1,0.161
1950,09-May-50,OK,1,0,0.8,1.287
1950,11-May-50,OK,1,0,0.5,0.805
1950,13-May-50,LA,1,0,2,3.219
1950,14-May-50,TX,1,0,1,1.609
1950,15-May-50,TX,2,0,18,28.968
1950,16-May-50,KS,2,0,0.2,0.322
1950,16-May-50,OK,1,1,7.3,11.748
1950,18-May-50,NE,1,0,0.7,1.127
1950,18-May-50,KS,3,2,14.9,23.979
1950,18-May-50,KS,0,0,0.1,0.161
1950,19-May-50,KS,0,0,0.1,0.161
1950,22-May-50,OK,1,0,1.5,2.414
1950,23-May-50,KS,0,0,0.2,0.322
1950,24-May-50,KS,2,1,3.6,5.794
1950,24-May-50,KS,1,0,10.7,17.22
1950,24-May-50,OK,2,2,1,1.609
1950,25-May-50,TX,1,0,3,4.828
1950,29-May-50,OK,1,0,1,1.609
1950,29-May-50,TX,1,0,3.4,5.472
1950,29-May-50,LA,1,13,1,1.609
1950,29-May-50,LA,1,0,1,1.609
1950,05-Jun-50,TX,3,6,23.9,38.463
1950,05-Jun-50,TX,1,2,23.7,38.141
1950,08-Jun-50,KS,4,6,17.1,27.52
1950,09-Jun-50,OK,1,0,0.1,0.161
1950,13-Jun-50,NE,2,101,4.1,6.598
1950,15-Jun-50,IA,3,5,5.6,9.012
1950,16-Jun-50,KS,1,0,29.9,48.119
1950,19-Jun-50,TX,0,0,15.8,25.428
1950,22-Jun-50,NE,0,0,1.9,3.058
1950,25-Jun-50,KS,0,0,0.1,0.161
1950,25-Jun-50,KS,0,0,0.1,0.161
1950,01-Jul-50,KS,2,0,0.1,0.161
1950,01-Jul-50,KS,1,1,0.1,0.161
1950,01-Jul-50,IA,2,0,14,22.531
1950,02-Jul-50,KS,2,0,1,1.609
1950,08-Jul-50,KS,1,0,1,1.609
1950,15-Jul-50,NE,4,33,10,16.093
1950,18-Jul-50,KS,1,0,0.1,0.161
1950,06-Aug-50,KS,1,0,0.1,0.161
1950,06-Aug-50,KS,2,0,0.1,0.161
1950,06-Aug-50,KS,2,0,8.7,14.001
1950,28-Aug-50,KS,1,0,7.2,11.587
1950,15-Sep-50,OK,2,6,6.8,10.944
1950,16-Sep-50,OK,0,0,0.1,0.161
1950,21-Sep-50,NE,1,0,22.5,36.21
1950,01-Oct-50,OK,1,0,15.8,25.428
1951,06-Jan-51,LA,3,11,16.8,27.037
1951,06-Feb-51,LA,1,0,0.5,0.805
1951,06-Feb-51,LA,1,0,4.9,7.886
1951,19-Feb-51,OK,2,5,43.9,70.65
1951,19-Feb-51,OK,0,0,0.1,0.161
1951,02-Mar-51,KS,3,0,38.1,61.316
1951,02-Mar-51,KS,0,0,0.1,0.161
1951,28-Mar-51,TX,1,0,0.5,0.805
1951,05-Apr-51,OK,2,0,5.7,9.173
1951,05-Apr-51,OK,2,2,0.2,0.322
1951,05-Apr-51,OK,2,2,3.6,5.794
1951,20-Apr-51,TX,2,0,1.5,2.414
1951,20-Apr-51,KS,0,0,0.1,0.161
1951,21-Apr-51,LA,0,2,1,1.609
1951,21-Apr-51,LA,0,1,1,1.609
1951,24-Apr-51,OK,0,0,0.1,0.161
1951,24-Apr-51,OK,1,0,2.5,4.023
1951,24-Apr-51,OK,1,0,0.1,0.161
1951,26-Apr-51,KS,0,0,29.2,46.993
1951,26-Apr-51,KS,1,0,0.1,0.161
1951,26-Apr-51,KS,0,0,1,1.609
1951,26-Apr-51,OK,1,0,0.1,0.161
1951,26-Apr-51,KS,1,0,0.1,0.161
1951,27-Apr-51,OK,1,2,0.8,1.287
1951,30-Apr-51,KS,3,0,12.8,20.6
1951,30-Apr-51,NE,1,0,0.3,0.483
1951,30-Apr-51,OK,1,0,0.1,0.161
1951,30-Apr-51,OK,3,0,7.4,11.909
1951,30-Apr-51,OK,2,0,1.5,2.414
1951,30-Apr-51,KS,0,0,0.1,0.161
1951,02-May-51,KS,1,0,0.1,0.161
1951,02-May-51,KS,1,0,0.1,0.161
1951,08-May-51,KS,1,0,0.1,0.161
1951,09-May-51,KS,1,0,2.3,3.701
1951,09-May-51,TX,2,0,4.9,7.886
1951,09-May-51,OK,1,0,0.1,0.161
1951,09-May-51,OK,2,1,14.8,23.818
1951,09-May-51,KS,0,0,0.1,0.161
1951,13-May-51,NE,0,0,0.1,0.161
1951,13-May-51,KS,1,0,0.1,0.161
1951,14-May-51,KS,2,0,0.1,0.161
1951,14-May-51,OK,2,0,0.1,0.161
1951,14-May-51,OK,2,0,0.1,0.161
1951,14-May-51,KS,2,0,0.1,0.161
1951,14-May-51,KS,3,4,0.1,0.161
1951,15-May-51,TX,1,0,0.1,0.161
1951,16-May-51,OK,0,0,0.1,0.161
1951,18-May-51,TX,4,102,2,3.219
1951,18-May-51,OK,1,0,0.1,0.161
1951,18-May-51,OK,1,0,0.1,0.161
1951,18-May-51,OK,1,0,0.1,0.161
1951,19-May-51,OK,1,0,0.1,0.161
1951,19-May-51,OK,2,0,2,3.219
1951,19-May-51,OK,0,0,0.1,0.161
1951,20-May-51,KS,3,0,12.8,20.6
1951,20-May-51,KS,2,0,1,1.609
1951,20-May-51,KS,3,0,0.1,0.161
1951,21-May-51,KS,2,0,0.1,0.161
1951,21-May-51,KS,1,0,0.1,0.161
1951,24-May-51,TX,1,1,0.5,0.805
1951,25-May-51,KS,1,0,0.1,0.161
1951,25-May-51,KS,3,1,4.1,6.598
1951,25-May-51,KS,2,0,0.1,0.161
1951,30-May-51,NE,2,7,19.7,31.704
1951,30-May-51,NE,1,0,2,3.219
1951,30-May-51,KS,1,0,3,4.828
1951,30-May-51,KS,1,0,8.3,13.358
1951,30-May-51,KS,0,0,0.1,0.161
1951,30-May-51,KS,1,0,7.7,12.392
1951,30-May-51,KS,0,0,0.1,0.161
1951,30-May-51,KS,0,0,0.1,0.161
1951,30-May-51,KS,0,0,0.1,0.161
1951,30-May-51,KS,0,0,0.1,0.161
1951,31-May-51,TX,1,0,0.5,0.805
1951,31-May-51,KS,2,0,3,4.828
1951,01-Jun-51,KS,1,0,11,17.703
1951,01-Jun-51,IA,3,7,1.5,2.414
1951,05-Jun-51,OK,2,0,0.1,0.161
1951,06-Jun-51,KS,2,3,0.1,0.161
1951,06-Jun-51,KS,1,0,3,4.828
1951,06-Jun-51,TX,1,0,0.1,0.161
1951,06-Jun-51,TX,0,0,0.1,0.161
1951,06-Jun-51,KS,3,3,44.8,72.099
1951,06-Jun-51,KS,0,0,0.1,0.161
1951,06-Jun-51,KS,0,0,0.1,0.161
1951,06-Jun-51,KS,1,0,9,14.484
1951,06-Jun-51,KS,1,0,0.1,0.161
